Time	day	Plot	Subplot	Mass_g	Al_mg_L	Ca_mg_L	Cd_ppb	Co_ppb	Cr_ppb	Cu_ppb	Fe_mg_L	K_mg_L	Mg_mg_L	Mn_mg_L	Na_mg_L	Ni_ppb	P_mg_L	Pb_ppb	S_mg_L	Zn_ppb	tot_C_%	tot_N_%	C_N
T5	157	L1	10	27.3	3.834	18.79395	0.08085	0.6722	9.9615	11.095	1.1275	0.70975	2.575	1.9855	1.3305	5.3985	0.777	6.3715	2.0875	71.27	40.93758	2.126178	19.25407
T5	157	L1	11	26.49	4.678	23.85395	0.33325	1.9475	10.9415	13.065	0.504	0.69035	3.25	2.4455	4.2025	8.2135	0.9461	6.4915	3.0725	90.15	39.04086	2.035568	19.17934
T5	157	L1	12	28.72	3.717	19.65395	0.01245	0.5734	11.4215	4.135	1.0775	0.67815	2.51	1.9655	2.0965	6.8775	1.0245	3.7095	2.7605	63.25	41.65201	2.392542	17.40911
T5	157	L2	13	25.3	6.407	16.73395	0.54215	1.2405	7.9855	1.505	2.8605	0.93035	3.538	2.2255	2.2815	5.1665	0.9029	5.7425	2.4735	83.03	38.50389	2.055069	18.73606
T5	157	L2	14	27.28	0	15.66395	0.10565	0.4611	-0.2305	0	0	0.48325	2.99	1.7095	2.8575	2.6435	0.1045	0	3.0585	66.49	38.53309	2.042703	18.86378
T5	157	L2	15	30.15	3.687	14.88395	0.13345	0.4552	2.9615	1.235	0.3841	0.23855	3.061	2.0875	1.6925	4.8805	0.0041	-0.7953	2.0085	86.75	38.65448	2.095662	18.445
T5	157	L2	16	23.46	9.995	16.41395	0	1.6285	13.6015	24.915	4.8905	1.70635	3.626	2.7985	4.9395	5.8825	1.3275	5.5395	2.8185	82.5	37.71328	1.952786	19.31255
T6	189	C1	1	19.01	2.591	21.37395	0.30045	0.3393	9.6715	0	0.4589	0.64345	3.89	1.9635	4.5735	5.7815	0.9267	0	2.7635	59.83	40.88583	2.180938	18.7469
T6	189	C1	2	19.23	4.19	23.33395	0.31115	0.4178	7.0465	2.315	1.2775	0.53585	3.205	2.2965	2.9615	4.2745	0.8892	-0.1655	3.1455	70.57	42.39674	2.203237	19.24293
T6	189	C1	3	20.8	2.348	20.19395	0.19145	0.1852	5.6385	17.285	0.4288	1.05435	3.213	1.9585	7.2075	2.9435	1.0175	2.6015	3.0745	87.85	40.98811	2.350344	17.4392
T6	189	C1	4	18.2	3.297	17.36395	0.10755	0.3558	7.3725	7.035	0.8289	0.65305	2.81	1.8085	3.1845	2.7815	0.6942	0	1.7175	74.26	41.32277	1.950785	21.18264
T6	189	C2	5	20.12	7.634	15.69395	0.33625	0.8948	8.2435	2.345	2.3185	1.24735	3.4	2.3225	4.2015	6.2335	0.7722	1.5335	2.6275	93.05	38.45011	2.130192	18.05007
T6	189	C2	6	20.23	5.025	12.08395	0.62855	0.8288	8.0575	16.485	1.2945	1.79135	1.805	1.6115	3.3295	5.6925	0.7293	2.1075	1.8535	134.45	37.33607	1.942432	19.2213
T6	189	C2	7	22.6	5.299	12.64395	0.29125	0.3346	9.8515	26.825	1.3225	0.94425	2.808	2.0085	2.2155	8.1715	0.7496	6.1525	2.7635	127.65	37.79425	2.313818	16.33415
T6	189	C2	8	24.12	4.211	9.64895	0.16605	0.8558	7.4775	14.675	1.5825	0.90975	2.446	1.5375	0.9745	4.2575	0.4762	1.1995	1.8405	67.74	38.64671	2.134129	18.10889
T6	189	L1	9	25.16	7.259	10.16395	0.39455	0.5673	8.4695	0	1.0745	0.46465	1.296	0.3299	3.4915	3.2475	0.6516	0	2.6245	53.81	39.07637	2.161567	18.0778
T6	189	L1	10	23.29	7.968	9.84195	0.60865	0	9.3215	6.925	2.2825	0.42855	0.8677	0.3328	3.0835	3.6575	0.7727	3.1855	2.6505	68.94	41.27394	2.233498	18.47951
